Freq (Hz)	Microphone(Pa^2 )	Source(V^2 )
220.000000000000030E+0	409.931349300383840E-12	208.572982132123130E-6
221.000000000000030E+0	356.542328127950200E-12	143.246244117813420E-6
222.000000000000030E+0	164.847054490948930E-12	85.022264786014946E-6
223.000000000000030E+0	97.824899071916086E-12	6.515774342681216E-6
224.000000000000030E+0	44.192607914539199E-12	30.199394381497986E-6
225.000000000000030E+0	211.011279552157870E-12	50.026962736876722E-6
226.000000000000030E+0	117.208202020567160E-12	18.228444125086685E-6
227.000000000000030E+0	106.473928800388040E-12	2.348582659653190E-6
228.000000000000030E+0	288.221475138051290E-12	65.043105981212962E-6
229.000000000000030E+0	250.582042947236680E-12	56.977491882365507E-6
230.000000000000030E+0	128.684388428043670E-12	48.816654799040932E-6
231.000000000000030E+0	414.279210875508680E-12	200.325811357567020E-6
232.000000000000030E+0	266.820460068229210E-12	121.838400669270420E-6
233.000000000000030E+0	157.313119551991270E-12	38.455184451431332E-6
234.000000000000030E+0	93.319499897462681E-12	17.774559945589641E-6
235.000000000000030E+0	199.313919966816220E-12	54.699816817708048E-6
236.000000000000030E+0	274.411671318247430E-12	88.286458002240437E-6
237.000000000000030E+0	200.348692796392980E-12	59.030956778579930E-6
238.000000000000030E+0	88.666542897619045E-12	16.870833997124087E-6
239.000000000000030E+0	91.967275789372271E-12	18.233172343765076E-6
240.000000000000030E+0	240.163826673114190E-12	46.372622019717569E-6
241.000000000000030E+0	62.102187763631066E-12	10.641364827247641E-6
242.000000000000030E+0	32.061966704084274E-12	9.589113742355780E-6
243.000000000000030E+0	87.522885809628929E-12	13.988536501329154E-6
244.000000000000030E+0	195.610988383159740E-12	57.185101922830150E-6
245.000000000000030E+0	477.811391949938720E-12	131.488585919976810E-6
246.000000000000030E+0	85.474174201331569E-12	8.993571565119348E-6
247.000000000000030E+0	77.556110622855257E-12	18.016611909699338E-6
248.000000000000030E+0	152.517031831760510E-12	28.508287522082273E-6
249.000000000000030E+0	109.318034887659970E-12	11.685128871980176E-6
250.000000000000030E+0	133.751800172171220E-12	17.984184715038972E-6
251.000000000000030E+0	193.660286929177930E-12	25.684818261365549E-6
252.000000000000030E+0	132.268718740902310E-12	20.766095217077394E-6
253.000000000000030E+0	45.224872873023164E-12	4.318509774876753E-6
254.000000000000030E+0	159.364399148989310E-12	41.104664720959745E-6
255.000000000000030E+0	413.912121746953960E-12	100.473687912688930E-6
256.000000000000060E+0	315.972857359027700E-12	58.145749965935193E-6
257.000000000000060E+0	47.838740095417005E-12	7.323840046435972E-6
258.000000000000060E+0	129.700865679021560E-12	57.947825691706135E-6
259.000000000000060E+0	165.723606440055590E-12	17.872155074619037E-6
260.000000000000060E+0	112.593131577297260E-12	1.128792348638030E-6
261.000000000000060E+0	53.333899955828175E-12	1.041819241005453E-6
262.000000000000060E+0	75.862141414847438E-12	3.702566416062514E-6
263.000000000000060E+0	235.625851379177270E-12	37.235393416135957E-6
264.000000000000060E+0	29.707911655914782E-12	7.100467589506325E-6
265.000000000000060E+0	98.377017373991714E-12	3.948441090618684E-6
266.000000000000060E+0	209.196630671030100E-12	24.096478740857532E-6
267.000000000000060E+0	52.051853208068165E-12	313.712279740199360E-9
268.000000000000060E+0	30.955730470112597E-12	3.289925205350951E-6
269.000000000000060E+0	13.005981254599456E-12	1.701633917210377E-6
270.000000000000060E+0	31.106813706973451E-12	1.776177997946462E-6
271.000000000000060E+0	53.359868186354071E-12	1.299006221937117E-6
272.000000000000060E+0	73.758626281736160E-12	9.037196372695874E-6
273.000000000000060E+0	70.425152761427718E-12	4.751894558257579E-6
274.000000000000060E+0	124.239373951416490E-12	15.438597037098075E-6
275.000000000000060E+0	74.463204419326980E-12	7.075759216376529E-6
276.000000000000060E+0	24.400220975924071E-12	8.274277663395305E-6
277.000000000000060E+0	112.333695381847310E-12	29.944071326373339E-6
278.000000000000060E+0	99.673180750959296E-12	13.395042231056442E-6
279.000000000000060E+0	78.867050739236293E-12	7.598820556385140E-6
280.000000000000060E+0	31.355111252416979E-12	3.258977515113181E-6
281.000000000000060E+0	178.840505909054640E-12	38.156582623391350E-6
282.000000000000060E+0	159.763556825947350E-12	21.706623888630667E-6
283.000000000000060E+0	54.449931721807104E-12	4.328065840314679E-6
284.000000000000060E+0	25.559590216113949E-12	4.043884192833714E-6
285.000000000000060E+0	31.093963444133123E-12	1.368821982815359E-6
286.000000000000060E+0	44.168883114571755E-12	9.177861677452464E-6
287.000000000000060E+0	22.407706173873304E-12	4.847418731154709E-6
288.000000000000060E+0	27.387644770799428E-12	3.279139294439834E-6
289.000000000000060E+0	25.052894125496327E-12	3.806779586236526E-6
290.000000000000060E+0	43.608953250718452E-12	84.316147548181448E-9
291.000000000000060E+0	47.260269865756892E-12	547.986656647555700E-9
292.000000000000060E+0	56.367217465427289E-12	6.327382504013401E-6
293.000000000000060E+0	77.512620374821526E-12	4.162859557373516E-6
294.000000000000060E+0	45.251995911442484E-12	2.995172266886093E-6
295.000000000000060E+0	41.977592499544071E-12	22.938362091451474E-6
296.000000000000060E+0	41.014419495714672E-12	7.991676289808739E-6
297.000000000000060E+0	53.377234029019512E-12	2.346033750621387E-6
298.000000000000060E+0	43.041613511095805E-12	1.619817527877477E-6
299.000000000000060E+0	45.058779362076248E-12	905.528656817015830E-9
