Freq (Hz)	Coh_Microphone/Source
319.000000000000060E+0	321.409247857447950E-3
320.000000000000060E+0	51.628085263337210E-3
321.000000000000060E+0	145.109014020282670E-3
322.000000000000060E+0	111.069621117167550E-3
323.000000000000060E+0	65.168956649991866E-3
324.000000000000060E+0	81.394703056316742E-3
325.000000000000060E+0	66.822893176411921E-3
326.000000000000060E+0	239.763019365825420E-3
327.000000000000060E+0	627.102681580186450E-3
328.000000000000060E+0	58.886670695619016E-3
329.000000000000060E+0	109.675640255847140E-3
330.000000000000060E+0	73.486122501255219E-3
331.000000000000060E+0	351.848373922282740E-3
332.000000000000060E+0	545.955602432837250E-3
333.000000000000060E+0	151.361486642272560E-3
334.000000000000060E+0	232.333679971697990E-3
335.000000000000060E+0	132.296265757657790E-3
336.000000000000060E+0	345.981026809627500E-3
337.000000000000060E+0	119.913705641100900E-3
338.000000000000060E+0	372.258292832659270E-3
339.000000000000060E+0	365.765113522431960E-3
340.000000000000060E+0	193.569870820614440E-3
341.000000000000060E+0	773.354120132847320E-3
342.000000000000060E+0	690.229499865558590E-3
343.000000000000060E+0	512.873557485237000E-3
344.000000000000060E+0	438.120702368303250E-3
345.000000000000060E+0	457.170248344870020E-3
346.000000000000060E+0	354.339397988270850E-3
347.000000000000060E+0	43.703943647741911E-3
348.000000000000060E+0	198.052996691535750E-3
349.000000000000060E+0	500.506412900125100E-3
350.000000000000060E+0	311.951716370586380E-3
351.000000000000060E+0	11.979002848571018E-3
352.000000000000060E+0	94.120752483816295E-3
353.000000000000060E+0	213.606816291183250E-3
354.000000000000060E+0	337.571941553767190E-3
355.000000000000060E+0	6.167966646051574E-3
356.000000000000060E+0	318.720766765334620E-3
357.000000000000060E+0	152.715021106228420E-3
358.000000000000060E+0	155.917542832902490E-3
359.000000000000060E+0	258.059405356613650E-3
360.000000000000060E+0	378.029563891046690E-3
361.000000000000060E+0	588.165879486279070E-3
362.000000000000060E+0	455.200284498368690E-3
363.000000000000060E+0	111.242405552609960E-3
364.000000000000060E+0	96.187808291783805E-3
365.000000000000060E+0	726.144129988345210E-3
366.000000000000060E+0	182.984597287147610E-3
367.000000000000060E+0	297.406459233113480E-3
368.000000000000060E+0	133.500046176468180E-3
369.000000000000060E+0	383.903215910853690E-3
370.000000000000060E+0	470.161998339410970E-3
371.000000000000060E+0	316.483400778458880E-3
372.000000000000060E+0	164.203469551780200E-3
373.000000000000060E+0	384.377656122697590E-3
374.000000000000060E+0	222.736527418036210E-3
375.000000000000060E+0	292.624586069880230E-3
376.000000000000060E+0	241.522926620371970E-3
377.000000000000060E+0	109.798247997567860E-3
378.000000000000060E+0	47.382013019291937E-3
379.000000000000060E+0	3.737282867072355E-3
380.000000000000060E+0	299.878332697118330E-3
381.000000000000060E+0	249.967095190683470E-3
382.000000000000060E+0	151.792303926895270E-3
383.000000000000060E+0	447.151757040479050E-3
384.000000000000060E+0	573.434057088487710E-3
385.000000000000060E+0	301.356827952815260E-3
386.000000000000060E+0	61.369036809622496E-3
387.000000000000060E+0	92.027390615174051E-3
388.000000000000060E+0	96.624945589618427E-3
389.000000000000060E+0	384.464668606653740E-3
390.000000000000060E+0	346.792762516079210E-3
391.000000000000060E+0	178.523359340810430E-3
392.000000000000060E+0	648.355265580504380E-3
393.000000000000060E+0	761.976036118939380E-3
394.000000000000060E+0	66.730763763575507E-3
395.000000000000060E+0	224.231065150810620E-3
396.000000000000060E+0	509.533046324077250E-3
