Freq (Hz)	Microphone/Source_Mod	Microphone/Source_Phase(rad)
106.000000000000010E+0	1.960211644127863E-3	36.084276326187521E+0
107.000000000000010E+0	9.745407400178235E-3	38.004563458324014E+0
108.000000000000010E+0	5.214845095690413E-3	37.380969337085219E+0
109.000000000000010E+0	1.806382293918838E-3	34.988814613929534E+0
110.000000000000010E+0	879.733586145143220E-6	37.235587133409197E+0
111.000000000000010E+0	2.118246545142349E-3	40.260284947525278E+0
112.000000000000010E+0	32.182107108805175E-3	41.851480111495292E+0
113.000000000000010E+0	13.994484161540333E-3	39.103633611494331E+0
114.000000000000010E+0	3.640322336791233E-3	39.160422184281458E+0
115.000000000000010E+0	4.978571688323656E-3	38.678795348747300E+0
116.000000000000010E+0	739.918949573029470E-6	37.515718139035947E+0
117.000000000000010E+0	2.105694028564663E-3	35.563445620515886E+0
118.000000000000010E+0	3.781237593381829E-3	34.637488664522856E+0
119.000000000000010E+0	1.240719375435270E-3	33.285310245979794E+0
120.000000000000010E+0	3.985494795497898E-3	33.026062107590768E+0
121.000000000000010E+0	600.554739815424410E-6	34.023813713717679E+0
122.000000000000010E+0	549.930150401289090E-6	33.552283951923421E+0
123.000000000000010E+0	1.316611642973062E-3	35.793102230160812E+0
124.000000000000010E+0	599.438154150773080E-6	36.844079165617401E+0
125.000000000000010E+0	672.523478502360200E-6	39.473593395778778E+0
126.000000000000010E+0	195.055728164926600E-6	40.605162368560833E+0
127.000000000000010E+0	1.261494404891412E-3	38.581030313657109E+0
128.000000000000030E+0	5.779985848682569E-3	40.875209332945104E+0
129.000000000000030E+0	3.440900907660916E-3	40.279549063188369E+0
130.000000000000030E+0	2.314824530370008E-3	39.959059403104490E+0
131.000000000000030E+0	745.242991287372630E-6	37.126136978170095E+0
132.000000000000030E+0	525.947991803948780E-6	34.545223982677598E+0
133.000000000000030E+0	1.375851335336741E-3	34.600522804532069E+0
134.000000000000030E+0	300.332081715171790E-6	34.045486443080250E+0
135.000000000000030E+0	1.033037845695978E-3	35.023560854701671E+0
136.000000000000030E+0	623.394921752074720E-6	34.059170303728294E+0
137.000000000000030E+0	585.648304777810660E-6	33.915056004286626E+0
138.000000000000030E+0	1.675152366922148E-3	33.216257188966964E+0
139.000000000000030E+0	600.843503268262990E-6	34.226544329854605E+0
140.000000000000030E+0	585.923463712848310E-6	34.072050278435327E+0
141.000000000000030E+0	1.915887776783664E-3	33.514068292669890E+0
142.000000000000030E+0	280.959456211755340E-6	33.521852255286419E+0
143.000000000000030E+0	239.967294840592590E-6	35.000279435500396E+0
144.000000000000030E+0	514.277858950843010E-6	37.860351239372179E+0
145.000000000000030E+0	947.488875938374700E-6	38.256973604846806E+0
146.000000000000030E+0	1.537716225835220E-3	40.913002412217111E+0
147.000000000000030E+0	1.828718054584022E-3	40.382804395605191E+0
148.000000000000030E+0	503.781474263059180E-6	40.714000065192756E+0
149.000000000000030E+0	188.878963963722370E-6	38.251701950342756E+0
150.000000000000030E+0	623.694592506303400E-6	38.925225025932356E+0
151.000000000000030E+0	1.653399762156026E-3	38.584640052526517E+0
