Freq (Hz)	Microphone/Source_Real	Microphone/Source_Imag
184.000000000000030E+0	116.075224311834880E-6	-2.321378926820465E-3
185.000000000000030E+0	-321.878032454072680E-6	-1.376267105168810E-3
186.000000000000030E+0	-93.537200546110692E-6	-1.257424461173134E-3
187.000000000000030E+0	-105.711286201791490E-6	-1.352649967400183E-3
188.000000000000030E+0	304.709411279403500E-6	-777.392212203102330E-6
189.000000000000030E+0	208.943578952459440E-6	-1.270156120947381E-3
190.000000000000030E+0	254.524399491321380E-6	-944.447734985323210E-6
191.000000000000030E+0	358.780452511724330E-6	-865.443668741861720E-6
192.000000000000030E+0	324.366158975635100E-6	-929.891271571580730E-6
193.000000000000030E+0	-5.527408604402131E-6	-820.128264329886690E-6
194.000000000000030E+0	92.960466648079097E-6	-670.146725851720460E-6
195.000000000000030E+0	60.894751321907382E-6	-809.422311384922910E-6
196.000000000000030E+0	110.709954362244030E-6	-881.818580228468390E-6
197.000000000000030E+0	98.808099935838976E-6	-1.252132608607585E-3
198.000000000000030E+0	306.927184500253370E-6	-1.592521853480088E-3
199.000000000000030E+0	40.095790301910572E-6	-1.165460331541210E-3
200.000000000000030E+0	-634.469051730797950E-6	-1.474094518497027E-3
201.000000000000030E+0	-113.954801011135690E-6	-1.339266102601707E-3
202.000000000000030E+0	-382.768937714033940E-6	-1.432336115079847E-3
203.000000000000030E+0	-790.259571396673000E-6	-1.107835466694641E-3
204.000000000000030E+0	462.805011769246820E-6	-2.370395221913316E-3
205.000000000000030E+0	-634.157643734531280E-6	-1.529431220245378E-3
206.000000000000030E+0	-832.967838033685520E-6	-1.486817467138105E-3
207.000000000000030E+0	-1.157051377108646E-3	-66.991197203023574E-6
208.000000000000030E+0	-1.654099601152137E-3	63.798675350358673E-6
209.000000000000030E+0	-628.270780126466680E-6	-1.081718428480096E-3
210.000000000000030E+0	-375.909810759569190E-6	-814.331926798478410E-6
211.000000000000030E+0	-561.671751464413610E-6	-729.101864011250040E-6
212.000000000000030E+0	-857.630698580386750E-6	-611.331508469147980E-6
213.000000000000030E+0	-821.745409995440300E-6	-731.298077319242280E-6
214.000000000000030E+0	-944.076019264900950E-6	-746.410784726706230E-6
215.000000000000030E+0	-982.844706421812620E-6	-1.003125499782899E-3
216.000000000000030E+0	-3.706949440347001E-3	-4.856330376169911E-3
217.000000000000030E+0	33.408302696266560E-6	-632.171669192003410E-6
218.000000000000030E+0	-64.097959460675805E-6	-11.917473186363832E-6
219.000000000000030E+0	2.911626074668780E-3	-1.902557636559020E-3
220.000000000000030E+0	-440.689895445588740E-6	-982.485116608351840E-6
221.000000000000030E+0	-594.706795150209210E-6	-731.343702076489040E-6
222.000000000000030E+0	-774.310320547086650E-6	-784.647953558116660E-6
223.000000000000030E+0	-1.403236168388217E-3	-165.289699251440630E-6
224.000000000000030E+0	-1.166261153358189E-3	-1.525458935923439E-3
225.000000000000030E+0	-841.257943671469400E-6	-1.059284036462194E-3
226.000000000000030E+0	-140.262578207835230E-6	-1.148281112503011E-3
227.000000000000030E+0	1.696385756502551E-3	-1.587417884389674E-3
228.000000000000030E+0	-474.964491101145180E-6	-765.716432759314010E-6
229.000000000000030E+0	-386.000784829944040E-6	-1.192548863010131E-3
230.000000000000030E+0	-718.663939584650890E-6	-1.152151137389605E-3
231.000000000000030E+0	-812.913598416589680E-6	-963.635830511626710E-6
232.000000000000030E+0	-1.334445167876274E-3	-1.048258889682313E-3
